レース情報,馬番,馬名,騎手名,基準オッズ,基準人気順位,ラップ適性,ラップキャラ,展開順位,展開ゴール差,先行力,追走力,持久力,持続力,瞬発力,ＳＴ指数,仕上指数,合計値,合計値順位,,先行力順位,追走力順位,持久力順位,持続力順位,瞬発力順位,ＳＴ指数順位,仕上指数順位,着,人,単勝
中山6R　３歳上500万下３歳上(定量)　ダ1800ｍ　13:00発走,09,ピンキージョーンズ,柴田大,12.7,5,超低速スタミナ,カスリ,4,4,60,55,47,50,52,33,63,-14,5,,4.0,6.0,9.0,6.0,6.0,8.0,1.0,5,4,11.5
中山6R　３歳上500万下３歳上(定量)　ダ1800ｍ　13:00発走,10,ラインアストリア,武藤雅,9.3,4,超低速スタミナ,カスリ,14,25,39,37,46,45,46,36,55,-19,7,,14.0,15.0,10.0,11.0,12.0,7.0,3.0,7,6,13.1
中山6R　３歳上500万下３歳上(定量)　ダ1800ｍ　13:00発走,11,ショーカノン,津村明,6.3,3,低速底力,カスリ,2,0,64,60,48,57,61,52,55,-3,3,,2.0,4.0,8.0,4.0,2.0,3.0,3.0,1,3,5.2
中山6R　３歳上500万下３歳上(定量)　ダ1800ｍ　13:00発走,12,ポルカシュネル,藤田菜,2.4,1,低速スタミナ,,5,5,58,61,54,57,56,51,59,0,2,,5.0,3.0,6.0,4.0,5.0,4.0,2.0,2,2,3.5
中山6R　３歳上500万下３歳上(定量)　ダ1800ｍ　13:00発走,13,グローリアスダイナ,木幡巧,53.1,10,超高速底力,,13,24,47,53,56,44,37,11,52,-47,14,,9.0,7.0,4.0,12.0,14.0,15.0,10.0,16,16,264.9
中山6R　３歳上500万下３歳上(定量)　ダ1800ｍ　13:00発走,14,マーズアタック,菅原隆,81.4,13,中速瞬発,,16,29,64,56,45,33,31,23,42,-45,13,,2.0,5.0,11.0,16.0,16.0,13.0,15.0,10,13,133.7
中山6R　３歳上500万下３歳上(定量)　ダ1800ｍ　13:00発走,15,ハートオブスワロー,勝浦正,14.0,6,高速バランス,,3,3,33,62,77,70,61,55,47,-8,4,,16.0,2.0,1.0,1.0,2.0,2.0,13.0,6,7,28.1
中山6R　３歳上500万下３歳上(定量)　ダ1800ｍ　13:00発走,16,ジョリルミエール,山田敬,22.9,8,低速バランス,,9,18,68,70,56,41,34,19,42,-49,15,,1.0,1.0,4.0,15.0,15.0,14.0,15.0,11,10,51.9
中山7R　３歳上500万下３歳上(定量)　芝外1200ｍ　13:30発走,01,レジェンドソウル,石橋脩,24.4,9,高速スタミナ,,8,15,56,51,37,44,52,55,52,-5,12,,4.0,11.0,15.0,11.0,7.0,9.0,12.0,15,6,10.9
中山7R　３歳上500万下３歳上(定量)　芝外1200ｍ　13:30発走,02,サクラベルカント,黛弘人,57.6,14,高速底力,カスリ,16,34,30,35,60,47,38,32,41,-39,16,,16.0,14.0,5.0,10.0,14.0,16.0,13.0,8,13,136.5
中山7R　３歳上500万下３歳上(定量)　芝外1200ｍ　13:30発走,03,イランカラプテ,横山武,50.4,13,高速スタミナ,,7,15,55,60,64,48,37,41,40,-31,14,,7.0,2.0,2.0,9.0,15.0,14.0,15.0,14,14,155.0
中山7R　３歳上500万下３歳上(定量)　芝外1200ｍ　13:30発走,04,ゴールデンテソーロ,江田照,39.5,12,超高速スタミナ,カスリ,10,19,56,52,41,38,40,57,55,0,8,,4.0,9.0,12.0,15.0,13.0,5.0,7.0,9,12,109.9
中山7R　３歳上500万下３歳上(定量)　芝外1200ｍ　13:30発走,05,セイウンアカマイ,三浦皇,13.0,7,超高速底力,ピッタリ,6,13,62,57,39,40,44,60,55,3,7,,2.0,4.0,14.0,14.0,11.0,2.0,7.0,12,8,12.6
中山7R　３歳上500万下３歳上(定量)　芝外1200ｍ　13:30発走,06,シャインサンデー,ルメー,3.6,1,高速底力,カスリ,1,0,51,56,61,68,68,60,56,4,5,,10.0,6.0,3.0,1.0,1.0,2.0,6.0,13,1,3.6
中山7R　３歳上500万下３歳上(定量)　芝外1200ｍ　13:30発走,07,アプト,大野拓,28.0,11,高速スタミナ,,2,2,65,62,44,49,53,53,55,-4,11,,1.0,1.0,10.0,8.0,6.0,12.0,7.0,11,10,23.3
中山7R　３歳上500万下３歳上(定量)　芝外1200ｍ　13:30発走,08,グッドジュエリー,武　豊,7.9,4,高速スタミナ,,12,21,54,52,45,38,37,54,74,16,3,,8.0,9.0,9.0,15.0,15.0,10.0,1.0,6,3,7.0
中山7R　３歳上500万下３歳上(定量)　芝外1200ｍ　13:30発走,09,シンボリティアラ,北村友,14.7,8,高速底力,カスリ,9,18,56,54,44,41,42,59,69,16,2,,4.0,8.0,10.0,12.0,12.0,4.0,3.0,7,7,11.8
中山7R　３歳上500万下３歳上(定量)　芝外1200ｍ　13:30発走,10,フィルハーモニー,丹内祐,97.6,15,高速持続,,15,30,32,28,37,50,60,46,36,-30,13,,15.0,16.0,15.0,7.0,4.0,13.0,16.0,10,15,259.1
中山7R　３歳上500万下３歳上(定量)　芝外1200ｍ　13:30発走,11,プラトリーナ,池添謙,27.5,10,高速バランス,,3,6,58,60,55,63,65,56,55,-1,9,,3.0,2.0,6.0,3.0,2.0,8.0,7.0,4,11,44.4
中山7R　３歳上500万下３歳上(定量)　芝外1200ｍ　13:30発走,12,メイラヴェル,津村明,6.3,3,高速底力,カスリ,5,13,53,57,61,63,60,57,53,-2,10,,9.0,4.0,3.0,3.0,4.0,5.0,11.0,1,4,7.4
中山7R　３歳上500万下３歳上(定量)　芝外1200ｍ　13:30発走,13,ブラウンローズ,勝浦正,8.0,5,高速底力,カスリ,14,25,35,35,50,51,51,57,74,19,1,,14.0,14.0,8.0,5.0,8.0,5.0,1.0,5,5,10.8
中山7R　３歳上500万下３歳上(定量)　芝外1200ｍ　13:30発走,14,ワイナルダム,松岡正,4.2,2,超高速スタミナ,カスリ,4,13,48,55,67,68,62,63,62,13,4,,11.0,7.0,1.0,1.0,3.0,1.0,4.0,2,2,4.6
中山7R　３歳上500万下３歳上(定量)　芝外1200ｍ　13:30発走,15,マイティーワークス,柴田大,11.1,6,高速持続,,11,19,42,44,54,51,48,54,62,4,6,,13.0,12.0,7.0,5.0,9.0,10.0,4.0,3,9,22.9
中山7R　３歳上500万下３歳上(定量)　芝外1200ｍ　13:30発走,16,マルブツインパルス,木幡育,183.0,16,低速スタミナ,,13,23,46,42,41,41,45,39,41,-32,15,,12.0,13.0,12.0,12.0,10.0,15.0,13.0,16,16,426.3
中山8R　３歳上500万下３歳上(定量)　ダ1800ｍ　14:00発走,01,サーストンウィナー,木幡巧,38.6,11,超低速バランス,,8,14,56,50,39,47,50,44,55,-11,9,,4.0,10.0,13.0,11.0,8.0,10.0,3.0,9,12,215.5
中山8R　３歳上500万下３歳上(定量)　ダ1800ｍ　14:00発走,02,ケイツーマルク,嘉藤貴,79.0,13,低速スタミナ,,15,35,50,44,38,35,35,35,48,-27,12,,11.0,13.0,14.0,13.0,13.0,14.0,13.0,13,15,384.4
中山8R　３歳上500万下３歳上(定量)　ダ1800ｍ　14:00発走,03,マイネルレンカ,柴田大,7.1,3,超低速スタミナ,カスリ,6,9,57,59,55,50,48,51,55,-4,5,,3.0,3.0,4.0,8.0,10.0,5.0,3.0,6,3,6.4
中山8R　３歳上500万下３歳上(定量)　ダ1800ｍ　14:00発走,04,ネバービーンベター,丸田恭,122.9,15,高速持続,,13,25,29,27,45,52,55,30,51,-29,13,,15.0,15.0,10.0,7.0,7.0,15.0,9.0,11,13,260.9
中山8R　３歳上500万下３歳上(定量)　ダ1800ｍ　14:00発走,05,トミケンセーグラ,武藤雅,61.7,12,高速スタミナ,,14,30,60,53,37,33,33,7,51,-52,15,,2.0,7.0,15.0,14.0,14.0,1.0,9.0,12,14,306.5
中山8R　３歳上500万下３歳上(定量)　ダ1800ｍ　14:00発走,06,ビップデヴィット,大野拓,19.3,8,超低速持続,カスリ,12,22,51,46,40,41,43,51,54,-5,7,,8.0,11.0,12.0,12.0,12.0,5.0,7.0,5,9,39.5
中山8R　３歳上500万下３歳上(定量)　ダ1800ｍ　14:00発走,07,チェリートリトン,田辺裕,19.4,9,低速底力,カスリ,9,19,70,65,44,33,30,44,54,-12,10,,1.0,1.0,11.0,14.0,15.0,10.0,7.0,4,8,36.2
中山8R　３歳上500万下３歳上(定量)　ダ1800ｍ　14:00発走,08,シャムロック,石橋脩,2.6,1,超低速底力,ピッタリ,2,0,52,64,74,67,63,59,55,4,1,,6.0,2.0,1.0,1.0,2.0,3.0,3.0,8,1,2.5
中山8R　３歳上500万下３歳上(定量)　ダ1800ｍ　14:00発走,09,サイモンジルバ,丸山元,10.7,5,超低速バランス,,4,4,51,53,53,56,57,51,60,1,3,,8.0,7.0,5.0,5.0,4.0,5.0,2.0,7,4,9.7
中山8R　３歳上500万下３歳上(定量)　ダ1800ｍ　14:00発走,10,ランニングウインド,吉田隼,15.7,6,超低速スタミナ,カスリ,1,0,47,56,68,66,64,61,45,-4,4,,12.0,4.0,2.0,2.0,1.0,2.0,14.0,3,5,14.5
中山8R　３歳上500万下３歳上(定量)　ダ1800ｍ　14:00発走,11,グッドフェローズ,石川裕,27.0,10,超低速底力,ピッタリ,10,21,47,46,48,48,48,37,49,-24,11,,12.0,11.0,8.0,10.0,10.0,13.0,11.0,中止,10,50.3
中山8R　３歳上500万下３歳上(定量)　ダ1800ｍ　14:00発走,12,ボンテン,木幡育,108.5,14,超低速底力,ピッタリ,11,22,45,44,47,49,50,42,38,-30,14,,14.0,13.0,9.0,9.0,8.0,12.0,15.0,14,11,87.9
中山8R　３歳上500万下３歳上(定量)　ダ1800ｍ　14:00発走,13,カガスター,山田敬,10.6,4,超低速スタミナ,カスリ,7,9,52,53,52,56,57,47,55,-8,8,,6.0,7.0,6.0,5.0,4.0,9.0,3.0,2,6,15.0
中山8R　３歳上500万下３歳上(定量)　ダ1800ｍ　14:00発走,14,ロードソリスト,三浦皇,18.4,7,低速底力,カスリ,5,6,54,54,50,58,60,56,49,-5,6,,5.0,5.0,7.0,3.0,3.0,4.0,11.0,10,7,29.3
中山8R　３歳上500万下３歳上(定量)　ダ1800ｍ　14:00発走,15,カフェアトラス,北村宏,3.3,2,超低速スタミナ,カスリ,3,2,51,54,57,57,57,50,63,3,2,,8.0,5.0,3.0,4.0,4.0,8.0,1.0,1,2,2.9
中山9R　芙蓉ステークス２歳(別定)　芝2000ｍ　14:35発走,01,セイウンオフロード,津村明,8.8,6,中速底力,,7,22,54,54,52,48,45,42,52,-10,5,,3.0,4.0,4.0,4.0,6.0,4.0,4.0,7,6,19.7
中山9R　芙蓉ステークス２歳(別定)　芝2000ｍ　14:35発走,02,ジャスパージャック,武　豊,6.0,4,低速瞬発,カスリ,5,18,44,26,28,40,65,39,70,5,1,,6.0,8.0,8.0,7.0,1.0,6.0,1.0,8,2,4.9
中山9R　芙蓉ステークス２歳(別定)　芝2000ｍ　14:35発走,03,カイザースクルーン,石川裕,5.8,3,低速バランス,ピッタリ,3,14,60,55,50,48,47,50,52,-2,4,,2.0,3.0,6.0,4.0,5.0,3.0,4.0,3,4,9.6
中山9R　芙蓉ステークス２歳(別定)　芝2000ｍ　14:35発走,04,ルタンブル,吉田隼,6.8,5,中速瞬発,,4,17,43,48,52,57,56,34,52,-18,8,,7.0,6.0,4.0,3.0,3.0,8.0,4.0,4,5,9.6
中山9R　芙蓉ステークス２歳(別定)　芝2000ｍ　14:35発走,05,マイネルエキサイト,柴田大,17.9,8,中速バランス,カスリ,6,19,68,53,43,38,43,37,51,-16,7,,1.0,5.0,7.0,8.0,7.0,7.0,7.0,6,7,25.3
中山9R　芙蓉ステークス２歳(別定)　芝2000ｍ　14:35発走,06,テイエムバリバリ,横山典,16.5,7,低速底力,,8,32,49,56,57,41,31,41,51,-12,6,,4.0,2.0,2.0,6.0,8.0,5.0,7.0,5,8,116.1
中山9R　芙蓉ステークス２歳(別定)　芝2000ｍ　14:35発走,07,ボスジラ,田辺裕,5.0,2,低速バランス,ピッタリ,2,6,48,61,63,66,53,51,56,3,3,,5.0,1.0,1.0,1.0,4.0,1.0,2.0,2,3,6.4
中山9R　芙蓉ステークス２歳(別定)　芝2000ｍ　14:35発走,08,ミッキーブラック,ルメー,2.2,1,中速瞬発,,1,0,34,46,54,62,60,51,56,3,2,,8.0,7.0,3.0,2.0,2.0,1.0,2.0,1,1,1.9
中山10R　外房特別３歳上(定量)　芝外1600ｍ　15:10発走,01,シーズララバイ,松岡正,31.6,11,低速瞬発,,4,10,59,61,51,44,43,63,58,3,4,,2.0,2.0,7.0,10.0,10.0,3.0,5.0,12,10,65.5
中山10R　外房特別３歳上(定量)　芝外1600ｍ　15:10発走,02,イレイション,藤岡佑,12.7,6,高速バランス,カスリ,5,10,52,42,31,49,59,52,59,-7,10,,4.0,10.0,12.0,7.0,2.0,10.0,2.0,2,4,9.3
中山10R　外房特別３歳上(定量)　芝外1600ｍ　15:10発走,03,エメラルスター,石川裕,17.3,8,中速瞬発,,2,5,46,52,62,64,60,63,58,3,6,,9.0,3.0,1.0,1.0,1.0,3.0,5.0,4,8,20.8
中山10R　外房特別３歳上(定量)　芝外1600ｍ　15:10発走,04,シャルルマーニュ,大野拓,16.2,7,中速底力,,8,14,75,76,44,23,22,59,58,-1,8,,1.0,1.0,10.0,12.0,12.0,8.0,5.0,1,5,11.3
中山10R　外房特別３歳上(定量)　芝外1600ｍ　15:10発走,05,ベストリゾート,武　豊,11.7,5,中速瞬発,,9,14,33,36,60,59,55,63,54,-1,7,,12.0,12.0,3.0,2.0,4.0,3.0,12.0,10,6,11.4
中山10R　外房特別３歳上(定量)　芝外1600ｍ　15:10発走,06,ユメノマイホーム,江田照,36.5,12,高速持続,ピッタリ,11,21,38,39,57,55,52,51,56,-11,12,,11.0,11.0,4.0,5.0,8.0,12.0,10.0,11,12,124.7
中山10R　外房特別３歳上(定量)　芝外1600ｍ　15:10発走,07,マサノヒロイン,田辺裕,5.2,3,高速バランス,カスリ,3,6,45,50,61,58,53,63,59,4,3,,10.0,6.0,2.0,3.0,6.0,3.0,2.0,6,3,6.5
中山10R　外房特別３歳上(定量)　芝外1600ｍ　15:10発走,08,ダイアトニック,北村友,2.8,1,高速持続,ピッタリ,10,14,54,45,33,48,57,71,62,15,1,,3.0,9.0,11.0,9.0,3.0,1.0,1.0,3,1,2.6
中山10R　外房特別３歳上(定量)　芝外1600ｍ　15:10発走,09,ヨシノザクラ,三浦皇,11.0,4,高速バランス,カスリ,6,12,47,51,57,56,53,63,58,3,5,,8.0,5.0,4.0,4.0,6.0,3.0,5.0,8,7,13.0
中山10R　外房特別３歳上(定量)　芝外1600ｍ　15:10発走,10,ディロス,ルメー,3.7,2,高速瞬発,,1,0,50,47,45,52,55,64,59,5,2,,6.0,8.0,9.0,6.0,4.0,2.0,2.0,5,2,4.0
中山10R　外房特別３歳上(定量)　芝外1600ｍ　15:10発走,11,エクラミレネール,北村宏,29.6,10,高速底力,カスリ,12,22,50,49,47,43,43,52,58,-8,11,,6.0,7.0,8.0,11.0,10.0,10.0,5.0,9,11,87.3
中山10R　外房特別３歳上(定量)　芝外1600ｍ　15:10発走,12,シャララ,内田博,18.7,9,中速持続,カスリ,7,13,51,52,52,49,48,56,55,-7,9,,5.0,3.0,6.0,7.0,9.0,9.0,11.0,7,9,33.4
中山11R　オールカマー３歳上(別定)　芝外2200ｍ　15:45発走,01,アルアイン,北村友,6.5,3,高速バランス,カスリ,5,20,48,44,46,56,60,75,75,0,3,,8.0,8.0,8.0,4.0,2.0,2.0,2.0,2,3,5.0
中山11R　オールカマー３歳上(別定)　芝外2200ｍ　15:45発走,02,ダンビュライト,武　豊,3.3,2,中速持続,カスリ,3,10,67,61,40,44,51,75,79,4,2,,1.0,2.0,11.0,9.0,6.0,2.0,1.0,3,2,3.8
中山11R　オールカマー３歳上(別定)　芝外2200ｍ　15:45発走,03,ガンコ,藤岡佑,14.0,5,低速バランス,カスリ,11,30,56,36,28,37,51,65,75,-10,8,,4.0,12.0,12.0,11.0,6.0,8.0,2.0,7,4,9.7
中山11R　オールカマー３歳上(別定)　芝外2200ｍ　15:45発走,04,マイネルミラノ,丹内祐,43.4,11,中速バランス,ピッタリ,7,24,58,60,51,47,45,59,66,-25,11,,3.0,3.0,5.0,6.0,8.0,10.0,10.0,12,10,130.7
中山11R　オールカマー３歳上(別定)　芝外2200ｍ　15:45発走,05,ブライトバローズ,石橋脩,50.0,12,中速持続,カスリ,8,25,45,57,65,46,35,59,60,-31,12,,10.0,4.0,1.0,7.0,11.0,10.0,12.0,8,11,308.4
中山11R　オールカマー３歳上(別定)　芝外2200ｍ　15:45発走,06,ショウナンバッハ,三浦皇,23.7,8,中速瞬発,カスリ,12,33,36,40,57,60,56,68,74,-8,7,,11.0,10.0,3.0,2.0,5.0,6.0,7.0,5,9,108.7
中山11R　オールカマー３歳上(別定)　芝外2200ｍ　15:45発走,07,レイデオロ,ルメー,2.3,1,中速瞬発,カスリ,1,0,46,45,50,57,58,79,75,4,1,,9.0,7.0,7.0,3.0,4.0,1.0,2.0,1,1,2.0
中山11R　オールカマー３歳上(別定)　芝外2200ｍ　15:45発走,08,ゴールドアクター,吉田隼,24.8,9,低速瞬発,,6,22,53,54,51,45,43,56,73,-21,9,,5.0,5.0,5.0,8.0,10.0,12.0,9.0,11,6,18.1
中山11R　オールカマー３歳上(別定)　芝外2200ｍ　15:45発走,09,ミライヘノツバサ,北村宏,23.2,7,中速持続,カスリ,9,27,53,50,46,44,45,72,74,-4,5,,5.0,6.0,8.0,9.0,8.0,4.0,7.0,10,8,39.6
中山11R　オールカマー３歳上(別定)　芝外2200ｍ　15:45発走,10,ブラックバゴ,池添謙,15.2,6,中速バランス,ピッタリ,4,15,29,38,65,73,65,68,75,-7,6,,12.0,11.0,1.0,1.0,1.0,6.0,2.0,6,7,27.5
中山11R　オールカマー３歳上(別定)　芝外2200ｍ　15:45発走,11,エアアンセム,田辺裕,8.2,4,中速バランス,ピッタリ,2,10,49,44,45,54,59,72,75,-3,4,,7.0,8.0,10.0,5.0,3.0,4.0,2.0,4,5,17.0
中山11R　オールカマー３歳上(別定)　芝外2200ｍ　15:45発走,12,マイネルフロスト,柴田大,29.1,10,中速持続,カスリ,10,29,61,70,56,37,31,63,65,-22,10,,2.0,1.0,4.0,11.0,12.0,9.0,11.0,9,12,309.6
中山12R　３歳上500万下３歳上(定量)　ダ1200ｍ　16:25発走,01,エースロッカー,岩部純,5.7,3,中速スタミナ,ピッタリ,9,19,45,47,53,53,52,54,61,5,2,,13.0,10.0,6.0,8.0,8.0,4.0,3.0,2,4,10.9
中山12R　３歳上500万下３歳上(定量)　ダ1200ｍ　16:25発走,02,フジマサクイーン,西田雄,92.9,15,低速持続,,10,19,30,43,75,59,53,49,54,-7,6,,16.0,13.0,1.0,2.0,6.0,8.0,5.0,7,12,76.7
中山12R　３歳上500万下３歳上(定量)　ダ1200ｍ　16:25発走,03,レアリティバイオ,北村宏,22.2,9,中速スタミナ,ピッタリ,8,17,47,52,59,55,53,52,54,-4,5,,12.0,6.0,2.0,4.0,6.0,6.0,5.0,13,10,29.3
中山12R　３歳上500万下３歳上(定量)　ダ1200ｍ　16:25発走,04,ミラビリア,木幡育,13.1,5,低速スタミナ,カスリ,2,7,68,70,48,51,52,40,45,-25,13,,1.0,1.0,10.0,10.0,8.0,11.0,15.0,8,6,15.8
中山12R　３歳上500万下３歳上(定量)　ダ1200ｍ　16:25発走,05,アドマイヤホルン,丸山元,29.3,11,高速スタミナ,カスリ,3,11,51,43,36,54,59,38,54,-18,11,,10.0,13.0,16.0,5.0,2.0,12.0,5.0,15,13,88.0
中山12R　３歳上500万下３歳上(定量)　ダ1200ｍ　16:25発走,06,アップファーレン,丹内祐,42.3,13,超高速スタミナ,,15,40,56,50,40,30,30,15,50,-45,16,,3.0,7.0,12.0,15.0,15.0,15.0,11.0,16,11,64.4
中山12R　３歳上500万下３歳上(定量)　ダ1200ｍ　16:25発走,07,ロトヴィグラス,嘉藤貴,21.7,8,中速スタミナ,ピッタリ,11,20,50,50,50,51,51,55,47,-8,7,,11.0,7.0,8.0,10.0,10.0,2.0,14.0,14,5,13.7
中山12R　３歳上500万下３歳上(定量)　ダ1200ｍ　16:25発走,08,サーロンドン,丸田恭,164.7,16,中速スタミナ,ピッタリ,13,21,37,31,44,54,57,38,50,-22,12,,14.0,16.0,11.0,5.0,5.0,12.0,11.0,11,15,216.3
中山12R　３歳上500万下３歳上(定量)　ダ1200ｍ　16:25発走,09,ポートナイトサイト,横山武,18.3,6,低速持続,,12,21,55,60,57,52,50,53,49,-8,8,,4.0,3.0,5.0,9.0,11.0,5.0,13.0,6,7,18.5
中山12R　３歳上500万下３歳上(定量)　ダ1200ｍ　16:25発走,10,ランパク,三浦皇,2.7,1,低速スタミナ,カスリ,6,14,31,34,59,66,66,60,67,17,1,,15.0,15.0,2.0,1.0,1.0,1.0,1.0,4,1,2.4
中山12R　３歳上500万下３歳上(定量)　ダ1200ｍ　16:25発走,11,ターキッシュバン,木幡巧,58.2,14,高速持続,,14,33,53,47,39,36,37,26,43,-41,14,,8.0,10.0,14.0,14.0,14.0,14.0,16.0,10,16,234.2
中山12R　３歳上500万下３歳上(定量)　ダ1200ｍ　16:25発走,12,スフィーダグリーン,勝浦正,41.2,12,高速底力,,16,43,54,48,39,28,28,15,51,-44,15,,6.0,9.0,14.0,16.0,16.0,15.0,10.0,12,14,89.6
中山12R　３歳上500万下３歳上(定量)　ダ1200ｍ　16:25発走,13,イザ,田辺裕,4.7,2,低速底力,,1,0,54,60,58,59,58,55,55,0,4,,6.0,3.0,4.0,2.0,3.0,2.0,4.0,1,2,4.8
中山12R　３歳上500万下３歳上(定量)　ダ1200ｍ　16:25発走,14,シアトルトウショウ,大野拓,6.2,4,中速スタミナ,ピッタリ,4,12,52,45,40,54,58,50,64,4,3,,9.0,12.0,12.0,5.0,3.0,7.0,2.0,4,3,5.6
中山12R　３歳上500万下３歳上(定量)　ダ1200ｍ　16:25発走,15,タイセイラビッシュ,黛弘人,18.3,7,低速持続,,5,13,55,57,52,50,49,41,54,-15,10,,4.0,5.0,7.0,12.0,12.0,10.0,5.0,3,8,22.2
中山12R　３歳上500万下３歳上(定量)　ダ1200ｍ　16:25発走,16,スフバータル,藤田菜,27.0,10,中速スタミナ,ピッタリ,7,17,62,64,50,46,46,45,54,-11,9,,2.0,2.0,8.0,13.0,13.0,9.0,5.0,9,9,26.2
阪神1R　２歳未勝利２歳(馬齢)　ダ1800ｍ　09:55発走,01,ノイーヴァ,藤岡佑,5.9,3,高速バランス,,11,29,51,48,43,44,46,17,42,-25,6,,5.0,6.0,8.0,8.0,9.0,9.0,3.0,3,4,14.4
阪神1R　２歳未勝利２歳(馬齢)　ダ1800ｍ　09:55発走,02,レクスミノル,ルメー,2.0,1,低速スタミナ,,1,0,72,71,53,58,58,38,43,-3,1,,1.0,1.0,6.0,4.0,3.0,1.0,1.0,1,1,1.2
阪神1R　２歳未勝利２歳(馬齢)　ダ1800ｍ　09:55発走,03,ニシノクローデット,西村淳,38.4,9,中速瞬発,,7,21,53,54,55,51,50,0,33,-51,13,,4.0,4.0,5.0,6.0,6.0,13.0,8.0,12,11,136.2
阪神1R　２歳未勝利２歳(馬齢)　ダ1800ｍ　09:55発走,04,ビップゼロワン,国分優,42.0,10,超低速バランス,カスリ,12,37,38,39,51,43,42,12,24,-48,12,,12.0,12.0,7.0,11.0,11.0,11.0,13.0,4,13,215.2
阪神1R　２歳未勝利２歳(馬齢)　ダ1800ｍ　09:55発走,05,ハイロードシチー,菱田裕,44.7,11,超低速底力,カスリ,4,18,45,51,64,57,53,19,33,-32,10,,10.0,5.0,2.0,5.0,5.0,8.0,8.0,9,8,96.9
阪神1R　２歳未勝利２歳(馬齢)　ダ1800ｍ　09:55発走,06,タガノファジョーロ,酒井学,23.1,7,超低速バランス,カスリ,8,23,51,48,43,48,50,21,42,-21,3,,5.0,6.0,8.0,7.0,6.0,6.0,3.0,7,7,26.1
阪神1R　２歳未勝利２歳(馬齢)　ダ1800ｍ　09:55発走,07,リゴメール,松若風,6.2,4,中速バランス,,10,29,49,43,35,44,48,21,42,-21,4,,7.0,10.0,13.0,8.0,8.0,6.0,3.0,11,3,14.0
阪神1R　２歳未勝利２歳(馬齢)　ダ1800ｍ　09:55発走,08,トイガー,和田竜,20.1,6,低速底力,,3,15,30,36,59,71,71,25,37,-22,5,,13.0,13.0,3.0,1.0,1.0,3.0,7.0,2,6,23.3
阪神1R　２歳未勝利２歳(馬齢)　ダ1800ｍ　09:55発走,09,セイウンコービー,浜中俊,5.5,2,中速スタミナ,,2,10,56,62,68,59,54,28,43,-13,2,,3.0,3.0,1.0,2.0,4.0,2.0,1.0,13,2,7.3
阪神1R　２歳未勝利２歳(馬齢)　ダ1800ｍ　09:55発走,10,レオビヨンド,荻野極,31.2,8,低速瞬発,,6,20,45,42,41,59,64,25,32,-27,7,,10.0,11.0,10.0,2.0,2.0,3.0,11.0,6,10,127.8
阪神1R　２歳未勝利２歳(馬齢)　ダ1800ｍ　09:55発走,11,ブルベアアルジェン,中井裕,59.5,13,中速スタミナ,,13,39,49,45,39,33,34,17,33,-34,11,,7.0,9.0,12.0,13.0,13.0,9.0,8.0,8,12,169.1
阪神1R　２歳未勝利２歳(馬齢)　ダ1800ｍ　09:55発走,12,シゲルクロダイヤ,古川吉,44.8,12,低速底力,,9,26,49,46,41,44,46,23,32,-29,8,,7.0,8.0,10.0,8.0,9.0,5.0,11.0,5,9,98.3
阪神1R　２歳未勝利２歳(馬齢)　ダ1800ｍ　09:55発走,13,ピースプレイヤー,川田将,10.7,5,中速瞬発,,5,20,64,65,57,39,35,11,42,-31,9,,2.0,2.0,4.0,12.0,12.0,12.0,3.0,10,5,21.7
阪神2R　２歳未勝利２歳(馬齢)　芝1400ｍ　10:25発走,01,アイファープライス,小牧太,27.8,8,超高速スタミナ,,12,31,47,42,40,44,48,35,39,-6,5,,10.0,10.0,12.0,11.0,10.0,5.0,6.0,11,10,152.4
阪神2R　２歳未勝利２歳(馬齢)　芝1400ｍ　10:25発走,02,ユンゲンハフト,池添謙,23.7,7,中速瞬発,,7,23,60,66,64,45,37,30,39,-11,7,,1.0,1.0,2.0,10.0,13.0,7.0,6.0,3,7,40.6
阪神2R　２歳未勝利２歳(馬齢)　芝1400ｍ　10:25発走,03,グッドカグラ,富田暁,48.3,12,高速持続,カスリ,9,24,49,50,52,51,50,21,39,-20,9,,9.0,8.0,8.0,7.0,8.0,12.0,6.0,10,9,66.4
阪神2R　２歳未勝利２歳(馬齢)　芝1400ｍ　10:25発走,04,ドアトゥブリス,丹内祐,23.3,6,高速スタミナ,カスリ,3,14,57,65,66,58,50,26,39,-15,8,,4.0,2.0,1.0,4.0,8.0,8.0,6.0,8,6,36.8
阪神2R　２歳未勝利２歳(馬齢)　芝1400ｍ　10:25発走,05,ビスタストリカ,川田将,7.4,3,高速バランス,,1,0,57,54,49,62,63,50,40,10,1,,4.0,6.0,9.0,3.0,3.0,1.0,4.0,5,3,5.1
阪神2R　２歳未勝利２歳(馬齢)　芝1400ｍ　10:25発走,06,アカマ,川須栄,48.0,11,中速スタミナ,,8,24,54,54,53,47,45,22,32,-26,12,,7.0,6.0,6.0,9.0,11.0,9.0,13.0,9,11,192.1
阪神2R　２歳未勝利２歳(馬齢)　芝1400ｍ　10:25発走,07,デンコウミシオン,幸英明,14.8,5,中速バランス,,6,17,60,55,45,50,52,37,46,3,4,,1.0,4.0,11.0,8.0,5.0,2.0,2.0,6,4,12.3
